Proposal ID,Title,Body,Choices,Start Block,End Block,Snapshot #
0xd60ab9126f9b3f68601b93aeaed22f89bd4136206c17d173f3c95f52f0416a7e,Initial Morpho Aave allocation for OETH,"A proposal recently passed with unanimous approval to deploy a Morpho Aave strategy for Origin Ether. This enables a yield source for our currently-idle WETH that is sitting in the vault dragging down our APY.
https://vote.ousd.com/#/proposal/0xdbb4a7dae2a642cf95c08c4b4c7c9ffbfaeddbdb01f0fd2a698f0d3e2fe5384f

The strategy was deployed this week and, after going through the 24-hour timelock, has received an initial allocation of approximately $100k worth of WETH. Everything is working as expected but there will be continued testing and verification that there are no surprises. After a 48-hour baking period, we will increase the allocation to a meaningful level.

Considering that the code for this strategy is inherited from OUSD where millions of dollars have been safely deployed for several months, I'm proposing that we immediately ramp up the WETH allocation to 10% of the vault value.

After the strategy has been live and earning for one week with a 10% allocation, I'm proposing that Morpho Aave become the default strategy for WETH. This will mean that all new non-LST deposits (ETH/WETH) will automatically be allocated to Morpho Aave. This would also enable automatic withdrawals from the Morpho Aave strategy anytime someone redeems OETH. Currently, we will need to maintain some WETH balance in the vault for redeems to function properly.

Morpho Aave strategy allocation:
0) current: ~57.20 WETH
1) after passage of this proposal: ~660 ETH
2) Thursday, June 8th: default strategy","For,Against,Abstain",1685617200,1685703600,17385406
0xd98b78bf4b18b3bda7b9404c95e732b39971a8f77593473a506b9c0920050f97,"Strategy Allocation for Week of May 29, 2023","OUSD holdings are adjusted on a weekly basis. Funds are allocated to approved strategies according to a community vote.

Please read how strategy allocation works and review the rules before voting:

https://docs.ousd.com/core-concepts/fund-management

+ Note that governance has limited our LUSD+3Crv allocation to a maximum of $100k.

_Pro tip_

Josh built a calculator that can be used to figure out how you might want to vote. It pulls the live APY numbers for each protocol as well as the current allocation numbers from OUSD analytics. The calculations in the spreadsheet are not guaranteed to be accurate, so please do your own research.

https://docs.google.com/spreadsheets/d/1J6ZxYHcRtflCNzMsyTMn57-GnKGCp7US4RO2Q-m_pGw/edit","Existing Allocation,Aave DAI,Aave USDC,Aave USDT,Compound DAI,Compound USDC,Compound USDT,Convex DAI+USDC+USDT,Convex LUSD+3Crv,Convex OUSD+3Crv,Morpho Aave DAI,Morpho Aave USDC,Morpho Aave USDT,Morpho Compound DAI,Morpho Compound USDC,Morpho Compound USDT",1685386800,1685559600,17363689
0xdbb4a7dae2a642cf95c08c4b4c7c9ffbfaeddbdb01f0fd2a698f0d3e2fe5384f,Add Morpho’s Aave V2 Optimizer to OETH strategies,"Earlier this month, the Origin Protocol released Origin Ether (OETH), an ETH yield aggregator that optimizes yield between liquid staking derivatives and liquidity provision on AMMs. In less than 2 weeks, OETH attracted more than $10m of TVL.

Morpho and Origin Protocol have a long-standing relationship with [$17m of OSUD collateral](https://www.ousd.com/) being deposited in Morpho-Aave V2, earning an improved APY. 

This RFC proposes allocating part of the OETH’s ETH collateral in Morpho’s Aave V2 Optimizer to earn interest from lending ETH while providing the OETH basket with highly liquid diversification.

In collaboration with the OGV community, we have prepared an evaluation of the strategy below:
https://morpho-labs.notion.site/Adding-Morpho-s-Aave-V2-Optimizer-to-OETH-strategies-1e9715f6ede4494db47e5d5665c95f03","For,Against,Abstain",1685089346,1685262146,17342055
0x2cbce1d1991642ce8470a104704922658ea8d9c95cf1146a001472f0cfb8621c,Temperature Check: Add Flux Finance fTokens as a strategy for OUSD,"The Flux Finance team is proposing to integrate Flux-fTokens into the list of strategies available to OUSD. The Flux Team prepared an evaluation of the strategy and subsequently joined the Origin community call on 22nd May to answer questions from the Origin community. 

The Flux team suggests that after a scale-up period (to enable the Origin team and community to become comfortable with Flux), a significant amount of the stablecoins currently held at Morpho could be moved to Flux in order to capture higher yield, collateralized by Ondo Finance’s Short-Term US Government Bond Fund (OUSG).

Evaluation of strategy:
https://docs.google.com/document/u/3/d/e/2PACX-1vQMeNWFqLXEg1Ac-1V0Ve4BVFtw6hn6-3gW0B6YPlOTWJAqirGgaCjaZCjFroqKOMFjBVTn7KjUsPn3/pub

THIS PROPOSAL IS PROVIDED FOR SOLELY AND EXCLUSIVELY INFORMATIONAL PURPOSES. THIS PROPOSAL DOES NOT MAKE, AND NEITHER FLUX FINANCE NOR ANY OTHER PERSON MAKES, ANY REPRESENTATIONS OR WARRANTIES OF ANY KIND, EXPRESS OR IMPLIED, AT LAW OR IN EQUITY, IN CONNECTION WITH THIS PROPOSAL OR THE TRANSACTIONS CONTEMPLATED HEREBY, INCLUDING BUT NOT LIMITED TO WARRANTIES OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, TITLE AND NON-INFRINGEMENT, AND ANY AND ALL REPRESENTATIONS AND WARRANTIES ARE HEREBY DISCLAIMED TO THE FULLEST EXTENT PERMITTED BY APPLICABLE LAW.

Overview
Flux Finance is a fork of Compound V2, with minor changes to support permissioned tokens such as OUSG, alongside permissionless tokens such as USDC. Stablecoin lenders receive the corresponding fToken, representing their right to reclaim the underlying stablecoin plus accrued interest. Positions are collateralized by OUSG, which is invested into Blackrock’s SHV ETF (with a small portion of USD and USDC for liquidity purposes).

Motivation
- Provide a complementary source of yield to the current OUSD yield strategies. Currently, ~70% of OUSD stablecoin positions are at Morpho, yielding below 3% without incentives. Flux provides a sustainable strategy that currently targets a 3.9%+ yield.
- Generate arguably the best risk-adjusted yield available in DeFi, with positions being collateralized by OUSG.

Projected Returns
Since launch, and without incentivization, stablecoin supply rates on Flux Finance have consistently outperformed Compound, Aave, Curve, and other major stablecoin lending protocols.

Current Flux stablecoin supply rates at 90% utilization:
USDC: 3.96%
USDT: 3.96%
DAI: 3.96%
FRAX: 3.96%","For,Against,Abstain",1684883220,1685056020,17325087
0xe2fc6dc73932916e5bc6ba89b629c60ca10733584a9534dea81926f7b45f0dc3,"Strategy Allocation for Week of May 22, 2023","OUSD holdings are adjusted on a weekly basis. Funds are allocated to approved strategies according to a community vote.

Please read how strategy allocation works and review the rules before voting:

https://docs.ousd.com/core-concepts/fund-management

+ Note that governance has limited our LUSD+3Crv allocation to a maximum of $100k.

_Pro tip_

Josh built a calculator that can be used to figure out how you might want to vote. It pulls the live APY numbers for each protocol as well as the current allocation numbers from OUSD analytics. The calculations in the spreadsheet are not guaranteed to be accurate, so please do your own research.

https://docs.google.com/spreadsheets/d/1J6ZxYHcRtflCNzMsyTMn57-GnKGCp7US4RO2Q-m_pGw/edit","Existing Allocation,Aave DAI,Aave USDC,Aave USDT,Compound DAI,Compound USDC,Compound USDT,Convex DAI+USDC+USDT,Convex LUSD+3Crv,Convex OUSD+3Crv,Morpho Aave DAI,Morpho Aave USDC,Morpho Aave USDT,Morpho Compound DAI,Morpho Compound USDC,Morpho Compound USDT",1684782000,1684954800,17314232
0x0f8eda3a656b36f38e58aa3ec6dda9195f676d2662fbafaf8e7fadc7cf2a8f1c,"Strategy Allocation for Week of May 15, 2023","OUSD holdings are adjusted on a weekly basis. Funds are allocated to approved strategies according to a community vote.

Please read how strategy allocation works and review the rules before voting:

https://docs.ousd.com/core-concepts/fund-management

+ Note that governance has limited our LUSD+3Crv allocation to a maximum of $100k.

_Pro tip_

Josh built a calculator that can be used to figure out how you might want to vote. It pulls the live APY numbers for each protocol as well as the current allocation numbers from OUSD analytics. The calculations in the spreadsheet are not guaranteed to be accurate, so please do your own research.

https://docs.google.com/spreadsheets/d/1J6ZxYHcRtflCNzMsyTMn57-GnKGCp7US4RO2Q-m_pGw/edit","Existing Allocation,Aave DAI,Aave USDC,Aave USDT,Compound DAI,Compound USDC,Compound USDT,Convex DAI+USDC+USDT,Convex LUSD+3Crv,Convex OUSD+3Crv,Morpho Aave DAI,Morpho Aave USDC,Morpho Aave USDT,Morpho Compound DAI,Morpho Compound USDC,Morpho Compound USDT",1684177200,1684350000,17251110
0xba3ef91f8b48f45350a89dcea56ab32973463d9387bc7490387539a3482745b0,"Strategy Allocation for Week of May 8, 2023","OUSD holdings are adjusted on a weekly basis. Funds are allocated to approved strategies according to a community vote.

Please read how strategy allocation works and review the rules before voting:

https://docs.ousd.com/core-concepts/fund-management

+ Note that governance has limited our LUSD+3Crv allocation to a maximum of $100k.

_Pro tip_

Josh built a calculator that can be used to figure out how you might want to vote. It pulls the live APY numbers for each protocol as well as the current allocation numbers from OUSD analytics. The calculations in the spreadsheet are not guaranteed to be accurate, so please do your own research.

https://docs.google.com/spreadsheets/d/1J6ZxYHcRtflCNzMsyTMn57-GnKGCp7US4RO2Q-m_pGw/edit","Existing Allocation,Aave DAI,Aave USDC,Aave USDT,Compound DAI,Compound USDC,Compound USDT,Convex DAI+USDC+USDT,Convex LUSD+3Crv,Convex OUSD+3Crv,Morpho Aave DAI,Morpho Aave USDC,Morpho Aave USDT,Morpho Compound DAI,Morpho Compound USDC,Morpho Compound USDT",1683572400,1683745200,17213341
0xb0374ef6d983e8c2e213a8f4a20ec9a884ab410720ffdf74aff42ba8a905715f,"Strategy Allocation for Week of May 1, 2023","OUSD holdings are adjusted on a weekly basis. Funds are allocated to approved strategies according to a community vote.

Please read how strategy allocation works and review the rules before voting:

https://docs.ousd.com/core-concepts/fund-management

+ Note that governance has limited our LUSD+3Crv allocation to a maximum of $100k.

_Pro tip_

Josh built a calculator that can be used to figure out how you might want to vote. It pulls the live APY numbers for each protocol as well as the current allocation numbers from OUSD analytics. The calculations in the spreadsheet are not guaranteed to be accurate, so please do your own research.

https://docs.google.com/spreadsheets/d/1J6ZxYHcRtflCNzMsyTMn57-GnKGCp7US4RO2Q-m_pGw/edit","Existing Allocation,Aave DAI,Aave USDC,Aave USDT,Compound DAI,Compound USDC,Compound USDT,Convex DAI+USDC+USDT,Convex LUSD+3Crv,Convex OUSD+3Crv,Morpho Aave DAI,Morpho Aave USDC,Morpho Aave USDT,Morpho Compound DAI,Morpho Compound USDC,Morpho Compound USDT",1682967600,1683140400,17166753
0x98ca8e9e510f33e2eb86c9de08516033a474aabb2758c6c590bbabe4599fafa2,"Strategy Allocation for Week of April 24, 2023","OUSD holdings are adjusted on a weekly basis. Funds are allocated to approved strategies according to a community vote.

Please read how strategy allocation works and review the rules before voting:

https://docs.ousd.com/core-concepts/fund-management

+ Note that governance has limited our LUSD+3Crv allocation to a maximum of $100k.

_Pro tip_

Josh built a calculator that can be used to figure out how you might want to vote. It pulls the live APY numbers for each protocol as well as the current allocation numbers from OUSD analytics. The calculations in the spreadsheet are not guaranteed to be accurate, so please do your own research.

https://docs.google.com/spreadsheets/d/1J6ZxYHcRtflCNzMsyTMn57-GnKGCp7US4RO2Q-m_pGw/edit","Existing Allocation,Aave DAI,Aave USDC,Aave USDT,Compound DAI,Compound USDC,Compound USDT,Convex DAI+USDC+USDT,Convex LUSD+3Crv,Convex OUSD+3Crv,Morpho Aave DAI,Morpho Aave USDC,Morpho Aave USDT,Morpho Compound DAI,Morpho Compound USDC,Morpho Compound USDT",1682362800,1682535600,17109871
0x85425a6f32625121a42003c051adba0101358119aff56f702146c57162cf6076,"Strategy Allocation for Week of April 17, 2023","OUSD holdings are adjusted on a weekly basis. Funds are allocated to approved strategies according to a community vote.

Please read how strategy allocation works and review the rules before voting:

https://docs.ousd.com/core-concepts/fund-management

+ Note that governance has limited our LUSD+3Crv allocation to a maximum of $100k.

_Pro tip_

Josh built a calculator that can be used to figure out how you might want to vote. It pulls the live APY numbers for each protocol as well as the current allocation numbers from OUSD analytics. The calculations in the spreadsheet are not guaranteed to be accurate, so please do your own research.

https://docs.google.com/spreadsheets/d/1J6ZxYHcRtflCNzMsyTMn57-GnKGCp7US4RO2Q-m_pGw/edit","Existing Allocation,Aave DAI,Aave USDC,Aave USDT,Compound DAI,Compound USDC,Compound USDT,Convex DAI+USDC+USDT,Convex LUSD+3Crv,Convex OUSD+3Crv,Morpho Aave DAI,Morpho Aave USDC,Morpho Aave USDT,Morpho Compound DAI,Morpho Compound USDC,Morpho Compound USDT",1681758000,1681930800,17066282
